City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
339,karlstad,SE,59.3793,13.5036,11.31,87,20,5.14,few clouds
340,pedernales,DO,18.0384,-71.744,27.78,74,70,1.04,broken clouds
341,adygeysk,RU,44.88,39.19,5.9,100,6,1.0,fog
342,atbasar,KZ,51.8,68.3333,11.09,35,100,3.19,overcast clouds
343,pinega,RU,64.7001,43.3936,7.14,97,100,1.99,overcast clouds
344,gualeguay,AR,-33.1416,-59.3097,15.22,71,100,2.73,light rain
345,iskateley,RU,67.6803,53.1512,6.06,95,100,4.19,overcast clouds
346,monrovia,LR,6.3005,-10.7969,24.67,86,100,1.78,overcast clouds
347,padilla,CO,3.2204,-76.3139,20.76,95,98,0.38,overcast clouds
348,benguela,AO,-12.5763,13.4055,21.33,85,82,1.6,broken clouds
349,kaoma,ZM,-14.7833,24.8,17.33,32,25,3.51,scattered clouds
350,abonnema,NG,4.7084,6.7931,24.1,92,97,1.52,light rain
351,thompson,CA,55.7435,-97.8558,-1.91,80,100,3.09,overcast clouds
352,panjab,AF,34.388,67.0233,6.46,27,0,1.71,clear sky
353,north myrtle beach,US,33.816,-78.68,15.06,85,0,0.93,clear sky
354,zaton,RU,53.2936,83.8072,6.77,93,75,0.0,mist
355,chimbote,PE,-9.0853,-78.5783,15.37,87,50,3.92,scattered clouds
356,rocha,UY,-34.4833,-54.3333,12.92,92,100,4.07,overcast clouds
357,sangolqui,EC,-0.3341,-78.4522,11.27,91,99,0.57,overcast clouds
358,valparaiso,CL,-33.0393,-71.6273,9.8,81,0,2.06,clear sky
359,yangambi,CD,0.8102,24.4336,20.75,99,100,0.59,overcast clouds
360,senanga,ZM,-16.1167,23.2667,19.05,28,30,2.87,scattered clouds
361,esenyurt,TR,41.0333,28.6753,17.64,67,75,4.12,broken clouds
362,paragominas,BR,-2.9667,-47.4833,23.57,78,15,2.0,few clouds
363,inhambane,MZ,-23.865,35.3833,23.99,94,40,3.6,scattered clouds
364,kassala,SD,15.451,36.4,27.1,54,6,3.93,clear sky
365,comodoro rivadavia,AR,-45.8667,-67.5,13.92,38,0,11.32,clear sky
366,arona,ES,28.0996,-16.681,20.5,85,0,1.54,clear sky
367,kasongo-lunda,CD,-6.4667,16.8167,19.73,96,72,0.35,broken clouds
368,sattur,IN,9.3667,77.9333,29.62,54,100,1.85,overcast clouds
369,polunochnoye,RU,60.8697,60.4153,6.03,71,99,1.85,overcast clouds
370,antalaha,MG,-14.9003,50.2788,22.2,76,6,2.96,clear sky
371,goderich,CA,43.7501,-81.7165,15.51,77,100,1.54,overcast clouds
372,malaya purga,RU,56.5567,53.0043,6.95,97,100,3.51,overcast clouds
373,pasni,PK,25.2631,63.471,27.22,64,0,1.28,clear sky
374,selty,RU,57.3132,52.1345,7.1,93,97,1.6,overcast clouds
375,necochea,AR,-38.5473,-58.7368,11.68,87,100,1.15,overcast clouds
376,jalingo,NG,8.8833,11.3667,22.86,90,96,0.84,light rain
377,umm kaddadah,SD,13.6017,26.6876,28.65,49,98,2.71,overcast clouds
378,kolyshley,RU,52.7005,44.5367,7.67,85,95,4.88,overcast clouds
379,zalaszentgrot,HU,46.9447,17.0792,7.98,77,95,1.91,overcast clouds
380,prado,BR,-17.3411,-39.2208,22.99,90,80,3.22,broken clouds
381,mto wa mbu,TZ,-3.35,35.85,19.41,79,100,2.88,overcast clouds
382,virginia beach,US,36.8529,-75.978,16.68,92,90,3.54,overcast clouds
383,guatire,VE,10.4762,-66.5427,25.67,97,100,1.25,overcast clouds
384,chicama,PE,-7.8447,-79.1469,14.3,84,43,2.15,scattered clouds
385,inongo,CD,-1.95,18.2667,21.21,97,100,1.12,light rain
386,camacha,PT,33.0833,-16.3333,19.68,78,40,6.17,scattered clouds
387,gayny,RU,60.3071,54.3241,5.47,84,100,2.67,overcast clouds
388,caluquembe,AO,-13.7833,14.6833,15.06,82,80,0.03,broken clouds
389,san rafael del sur,NI,11.8485,-86.4384,26.54,88,100,2.37,overcast clouds
390,reconquista,AR,-29.15,-59.65,17.61,95,100,4.07,moderate rain
391,parabel,RU,58.6978,81.4825,4.3,70,75,2.42,broken clouds
392,el cope,PA,8.6167,-80.6,20.17,92,100,0.74,overcast clouds
393,neyshabur,IR,36.2133,58.7958,16.86,13,0,0.6,clear sky
394,mayumba,GA,-3.432,10.6554,24.32,89,100,3.58,overcast clouds
395,berlevag,NO,70.8578,29.0864,6.0,75,100,3.6,overcast clouds
396,cayenne,GF,4.9333,-52.3333,24.02,94,20,0.51,few clouds
397,suhum,GH,6.0409,-0.45,22.52,98,100,1.09,light rain
398,thinadhoo,MV,0.5333,72.9333,28.06,75,64,8.72,broken clouds
399,sistranda,NO,63.7256,8.834,8.98,68,75,10.33,light rain
400,harer,ET,9.3094,42.1258,15.52,76,20,0.36,few clouds
401,jablanica,BA,43.6603,17.7617,7.07,45,100,1.15,overcast clouds
402,manaus,BR,-3.1019,-60.025,29.27,70,0,2.57,clear sky
403,forestville,US,38.8451,-76.875,14.8,95,98,0.0,mist
404,ngerengere,TZ,-6.75,38.1167,21.4,81,60,0.96,broken clouds
405,graaff-reinet,ZA,-32.2522,24.5308,12.18,93,61,1.39,broken clouds
406,nantucket,US,41.2835,-70.0995,16.06,98,100,5.14,fog
407,rawson,AR,-43.3002,-65.1023,17.03,34,100,8.83,overcast clouds
408,igarka,RU,67.4667,86.5833,0.01,83,100,2.33,overcast clouds
409,quepos,CR,9.4236,-84.1652,25.14,87,100,1.53,light rain
410,ormara,PK,25.2088,64.6357,26.23,81,8,3.01,clear sky
411,porto novo,BJ,6.4965,2.6036,25.9,92,62,2.37,broken clouds
412,benidorm,ES,38.5382,-0.131,23.01,80,48,4.35,light rain
413,el tigre,VE,8.8875,-64.2454,23.03,94,100,3.85,overcast clouds
414,camargo,MX,27.6667,-105.1667,21.69,41,79,2.25,broken clouds
415,requena,ES,39.4883,-1.1004,15.29,90,48,1.74,scattered clouds
416,akhisar,TR,38.9185,27.8401,10.49,90,0,2.74,clear sky
417,nandaime,NI,11.757,-86.0529,24.43,87,100,1.96,overcast clouds
418,kangaatsiaq,GL,68.3065,-53.4641,-1.81,76,93,2.73,overcast clouds
419,ferrol,ES,43.4832,-8.2369,17.29,86,48,6.62,scattered clouds
420,libreville,GA,0.3925,9.4537,24.3,89,100,3.75,light rain
421,ferme-neuve,CA,46.7001,-75.4493,11.79,96,74,1.92,broken clouds
422,biltine,TD,14.5333,20.9167,29.87,22,99,0.94,overcast clouds
423,ituporanga,BR,-27.4144,-49.6025,16.03,93,100,1.24,moderate rain
424,constitucion,CL,-35.3333,-72.4167,9.01,88,54,2.35,broken clouds
425,mastic beach,US,40.7668,-72.8521,16.11,97,100,0.89,overcast clouds
426,lipin bor,RU,60.2622,37.9763,5.39,90,9,2.38,clear sky
427,tortoli,IT,39.9256,9.6572,17.37,68,12,1.81,few clouds
428,taraz,KZ,42.9,71.3667,8.23,36,0,1.0,clear sky
429,trinidad,BO,-14.8333,-64.9,26.09,66,71,1.83,broken clouds
430,talara,PE,-4.5772,-81.2719,17.66,81,5,6.88,clear sky
431,zhob,PK,31.3411,69.4481,23.29,14,0,0.93,clear sky
432,chardara,KZ,41.2547,67.9692,14.28,27,0,1.28,clear sky
433,lipari,IT,38.4674,14.954,17.93,53,76,0.97,broken clouds
434,luau,AO,-10.7073,22.2247,18.75,75,88,1.18,overcast clouds
435,bauchi,NG,10.5,10.0,21.61,84,90,1.24,light rain
436,erechim,BR,-27.6342,-52.2739,15.22,96,100,2.17,light rain
437,penne,IT,42.4538,13.9299,15.68,52,100,1.48,overcast clouds
438,mezen,RU,65.8522,44.24,6.83,96,100,2.43,overcast clouds
439,akhtanizovskaya,RU,45.32,37.1,8.26,58,78,4.13,broken clouds
440,bahia blanca,AR,-38.7196,-62.2724,11.67,78,82,4.17,broken clouds
441,saint-joseph,RE,-21.3667,55.6167,24.15,68,17,4.92,few clouds
442,dutlwe,BW,-23.9833,23.9,20.0,38,0,5.5,clear sky
443,comarapa,BO,-17.9,-64.4833,13.26,93,55,1.38,broken clouds
444,apatou,GF,5.155,-54.3472,22.55,97,10,1.16,clear sky
445,seydi,TM,39.4816,62.9137,15.27,20,0,7.17,clear sky
446,itarema,BR,-2.9248,-39.9167,25.53,81,10,6.98,clear sky
447,nuuk,GL,64.1835,-51.7216,0.49,86,97,1.79,overcast clouds
448,birjand,IR,32.8663,59.2211,17.27,4,0,4.78,clear sky
449,savonlinna,FI,61.8699,28.88,10.03,100,100,5.66,light rain
450,vila franca do campo,PT,37.7167,-25.4333,21.22,84,96,4.78,overcast clouds
451,halifax,CA,44.6453,-63.5724,14.27,92,99,5.14,overcast clouds
452,ajdabiya,LY,30.7554,20.2263,19.9,69,0,4.28,clear sky
453,sinnamary,GF,5.3833,-52.95,25.6,88,4,4.38,clear sky
454,neiba,DO,18.5,-71.4167,24.65,90,97,0.76,overcast clouds
455,sheregesh,RU,52.9209,87.9869,0.58,100,100,1.21,snow
456,vallenar,CL,-28.5708,-70.7581,13.44,60,0,2.38,clear sky
457,altamira,BR,-3.2033,-52.2064,25.39,65,4,2.51,clear sky
458,lumeje,AO,-11.55,20.7833,18.99,69,66,2.14,broken clouds
459,chechen-aul,RU,43.2,45.7889,14.73,63,100,1.95,overcast clouds
460,myrtle beach,US,33.6891,-78.8867,15.05,78,0,1.24,clear sky
461,saint-ambroise,CA,48.5501,-71.3324,11.99,89,84,1.28,broken clouds
462,amapa,BR,1.0,-52.0,21.43,94,49,1.05,scattered clouds
463,toamasina,MG,-18.1667,49.3833,21.15,78,50,1.45,scattered clouds
464,tete,MZ,-16.1564,33.5867,24.05,60,0,1.54,clear sky
465,salihorsk,BY,52.7876,27.5415,6.85,94,92,3.58,overcast clouds
466,aliman,RO,44.1833,27.85,11.4,62,100,1.9,overcast clouds
467,tobermory,CA,45.2501,-81.6665,16.64,72,100,4.21,overcast clouds
468,bayan,CN,46.0833,127.4,9.58,27,2,5.19,clear sky
469,qaqortoq,GL,60.7167,-46.0333,0.01,88,12,2.55,few clouds
470,puerto colombia,CO,10.9878,-74.9547,25.05,76,98,2.27,overcast clouds
471,derzhavinsk,KZ,51.1,66.3167,11.5,22,100,4.06,overcast clouds
472,bolshoye selo,RU,57.7177,38.9334,3.15,98,25,1.71,scattered clouds
473,cabaiguan,CU,22.0789,-79.4992,22.1,87,10,1.5,moderate rain
474,kasama,ZM,-10.2129,31.1808,14.73,56,27,1.61,scattered clouds
475,uribia,CO,11.7139,-72.266,26.75,81,99,2.38,overcast clouds
476,eirunepe,BR,-6.6603,-69.8736,23.34,87,96,0.49,overcast clouds
477,loughrea,IE,53.1969,-8.5669,12.76,91,79,8.15,broken clouds
478,matara,LK,5.9485,80.5353,27.37,77,100,6.74,overcast clouds
479,liverpool,GB,53.4106,-2.9779,12.06,82,20,6.17,few clouds
480,huarmey,PE,-10.0681,-78.1522,16.18,84,51,4.37,broken clouds
481,asilah,MA,35.465,-6.0348,22.98,83,0,7.14,clear sky
482,kemin,KG,42.7846,75.6892,16.42,42,46,2.57,scattered clouds
483,iquique,CL,-20.2208,-70.1431,14.35,75,44,1.65,scattered clouds
484,miraflores,MX,19.2167,-98.8083,14.43,93,97,0.48,overcast clouds
485,balkanabat,TM,39.5108,54.3671,23.1,9,0,5.03,clear sky
486,cabedelo,BR,-6.9811,-34.8339,24.52,87,24,4.18,few clouds
487,barcelos,PT,41.5388,-8.6151,19.95,82,98,2.31,overcast clouds
488,panjakent,TJ,39.4952,67.6093,15.75,25,0,0.54,clear sky
489,diyarb najm,EG,30.7542,31.4393,18.98,73,0,2.63,clear sky
490,valdivia,CL,-39.8142,-73.2459,10.17,99,100,3.5,overcast clouds
491,ocotal,NI,13.6321,-86.4752,20.35,96,100,1.42,overcast clouds
492,ondangwa,NA,-17.9167,15.95,20.29,21,16,3.01,few clouds
493,parrita,CR,9.5201,-84.3225,25.14,88,100,2.03,overcast clouds
494,tartus,SY,34.889,35.8866,22.31,75,0,1.92,clear sky
495,axim,GH,4.8699,-2.2405,23.83,92,68,3.17,light rain
496,bousso,TD,10.4795,16.7117,23.74,84,100,1.02,overcast clouds
497,carutapera,BR,-1.195,-46.02,25.86,78,0,4.36,clear sky
498,tonj,SS,7.2737,28.6822,20.82,97,100,1.64,overcast clouds
499,havoysund,NO,70.9963,24.6622,7.13,86,100,6.47,overcast clouds
500,senneterre,CA,48.3835,-77.2328,12.58,87,90,2.87,overcast clouds
501,foumban,CM,5.7291,10.9001,16.12,95,100,1.23,overcast clouds
502,ullapool,GB,57.8987,-5.1604,11.31,83,53,12.18,broken clouds
503,arkhangelsk,RU,64.5401,40.5433,8.06,100,100,2.0,overcast clouds
504,setermoen,NO,68.861,18.3486,6.73,79,100,4.92,light rain
505,straumen,NO,63.8709,11.2999,4.0,80,49,3.02,scattered clouds
506,bandiagara,ML,14.3501,-3.6104,28.31,56,51,1.5,broken clouds
507,riyadh,SA,24.6877,46.7219,22.08,15,0,0.63,clear sky
508,sandnessjoen,NO,66.0217,12.6316,9.12,85,40,7.2,scattered clouds
509,gat,IL,31.61,34.7642,22.44,100,4,1.82,clear sky
510,uray,RU,60.1247,64.7758,6.4,64,100,2.64,overcast clouds
511,port-cartier,CA,50.0334,-66.8654,9.12,94,97,1.16,overcast clouds
512,mattru,SL,7.6244,-11.8332,22.77,97,100,0.68,overcast clouds
513,awbari,LY,26.5921,12.7805,19.55,46,0,3.84,clear sky
514,menongue,AO,-14.6585,17.691,15.95,37,69,1.48,broken clouds
515,mitu,CO,1.1983,-70.1733,22.7,96,63,0.63,broken clouds
516,bubaque,GW,11.2833,-15.8333,27.39,82,40,3.07,scattered clouds
517,lusambo,CD,-4.9667,23.45,20.97,97,100,0.6,overcast clouds
518,bombay,IN,19.0144,72.8479,29.94,89,75,4.12,haze
519,at-bashi,KG,41.1702,75.8106,9.56,51,94,1.75,overcast clouds
520,santa fe,AR,-31.6333,-60.7,18.28,68,100,3.13,light rain
521,saint anthony,US,45.0205,-93.218,16.96,86,0,1.54,clear sky
522,kabare,CD,-2.4683,28.8242,16.2,83,100,0.74,overcast clouds
523,natal,BR,-5.795,-35.2094,26.12,89,75,1.54,broken clouds
524,emmaus,US,40.5395,-75.4968,14.24,86,0,2.57,clear sky
525,lagoa formosa,BR,-18.7786,-46.4075,20.01,72,28,0.8,scattered clouds
526,gravdal,NO,68.1214,13.5031,8.94,87,75,9.77,light rain
527,salinopolis,BR,-0.6136,-47.3561,26.67,78,3,5.29,clear sky
528,coro,VE,11.4045,-69.6734,26.69,83,100,2.28,light rain
529,lamu,KE,-2.2717,40.902,25.12,83,21,5.69,few clouds
530,samana,DO,19.2056,-69.3369,25.82,88,60,3.19,broken clouds
531,camapua,BR,-19.5314,-54.0439,24.13,71,12,2.14,few clouds
532,donegal,IE,54.65,-8.1167,12.29,88,89,7.78,overcast clouds
533,chama,CH,47.1821,8.4636,12.92,89,0,0.0,clear sky
534,ust-koksa,RU,50.2696,85.6108,5.65,54,97,0.89,overcast clouds
535,dori,BF,14.0354,-0.0345,28.61,53,97,2.79,overcast clouds
536,ramshir,IR,30.8946,49.4092,32.16,11,4,0.59,clear sky
537,koslan,RU,63.4564,48.8989,5.61,97,100,1.19,overcast clouds
538,stepnoye,RU,51.4,46.8667,9.24,80,70,4.05,broken clouds
539,hidrolandia,BR,-4.4081,-40.4378,24.53,73,7,2.43,clear sky
540,cape coast,GH,5.1053,-1.2466,23.77,93,100,3.6,light rain
541,malanje,AO,-9.5402,16.341,17.73,89,96,1.04,overcast clouds
542,lakhnadon,IN,22.6,79.6,25.31,82,76,5.06,broken clouds
543,tubuala,PA,9.5167,-79.0333,25.77,86,100,2.65,overcast clouds
544,sao desiderio,BR,-12.3633,-44.9733,27.13,37,75,1.47,broken clouds
545,merzifon,TR,40.8733,35.4631,12.7,72,75,4.12,broken clouds
546,abancay,PE,-13.6339,-72.8814,15.09,82,81,1.41,broken clouds
547,ambilobe,MG,-13.2,49.05,23.93,56,5,1.73,clear sky
548,kanashevo,RU,55.2169,62.0634,7.31,34,100,4.87,overcast clouds
549,vangaindrano,MG,-23.35,47.6,20.59,85,35,4.0,scattered clouds
550,bozdar,PK,27.1828,68.636,32.85,32,0,3.45,clear sky
551,marfino,RU,55.7028,37.3822,7.15,93,75,3.0,broken clouds
552,champa,IN,22.05,82.65,27.58,76,50,5.18,scattered clouds
553,waw,SS,7.7029,27.9953,21.18,97,100,1.93,overcast clouds
554,lixourion,GR,38.2019,20.4314,18.65,62,10,3.16,clear sky
555,kipini,KE,-2.5257,40.5262,25.16,82,8,6.56,light rain
556,gao,ML,16.6362,1.637,30.01,20,64,1.86,broken clouds
557,ponta delgada,PT,37.7333,-25.6667,21.39,88,20,2.06,few clouds
558,tabuk,PH,17.4189,121.4443,30.45,66,92,1.14,overcast clouds
559,harlingen,US,26.1906,-97.6961,26.61,87,0,2.57,clear sky
560,bonanza,NI,14.0289,-84.591,21.73,100,100,1.11,overcast clouds
561,cernesti,RO,47.5167,23.75,6.39,81,100,1.38,overcast clouds
562,bacalar,MX,18.6667,-88.3833,22.94,86,24,1.53,few clouds
563,cantanhede,BR,-3.6333,-44.3767,24.13,82,3,2.52,clear sky
564,sivas,TR,39.7916,37.0019,7.35,93,20,2.06,few clouds
565,puerto cabezas,NI,14.0351,-83.3888,24.96,90,99,2.97,overcast clouds
566,boa vista,BR,2.8197,-60.6733,25.99,73,75,3.6,moderate rain
567,scottsboro,US,34.6723,-86.0341,16.76,82,100,0.0,overcast clouds
568,chorozinho,BR,-4.3003,-38.4978,23.86,90,60,2.21,broken clouds
569,panvel,IN,18.9833,73.1,29.99,79,100,1.53,overcast clouds
570,san juan,AR,-31.5375,-68.5364,13.0,56,15,3.27,few clouds
571,wawa,NG,9.9022,4.4192,23.98,87,100,1.49,overcast clouds
572,acarau,BR,-2.8856,-40.12,25.53,82,15,7.1,few clouds
573,mbaiki,CF,3.8678,17.9892,20.47,99,100,1.07,overcast clouds
574,diffa,NE,13.3154,12.6113,28.55,52,98,1.59,overcast clouds
575,ghanzi,BW,-21.5667,21.7833,21.41,22,0,4.47,clear sky
576,fomboni,KM,-12.28,43.7425,24.31,74,5,1.72,clear sky
577,qasigiannguit,GL,68.8193,-51.1922,-2.86,82,94,2.14,overcast clouds
578,ravar,IR,31.2656,56.8055,24.17,16,0,2.07,clear sky
579,salamiyah,SY,35.0113,37.0532,17.88,54,0,1.47,clear sky
580,mbuji-mayi,CD,-6.15,23.6,21.11,90,100,0.95,overcast clouds
581,atar,MR,20.5169,-13.0499,30.69,18,16,5.59,few clouds
582,guayaramerin,BO,-10.8368,-65.3614,24.86,70,1,0.8,clear sky
583,smalininkai,LT,55.0735,22.5793,8.84,88,1,3.96,clear sky
584,pimenta bueno,BR,-11.6725,-61.1936,24.91,71,19,1.45,few clouds
585,illela,NG,13.7292,5.2975,27.01,60,21,1.92,few clouds
586,hollins,US,37.3413,-79.9431,14.38,77,0,2.06,clear sky
587,diego de almagro,CL,-26.3667,-70.05,9.29,58,0,0.57,clear sky
588,saint-augustin,CA,51.226,-58.6502,11.1,88,83,2.61,broken clouds
589,neuquen,AR,-38.9516,-68.0591,13.94,44,0,3.09,light rain
590,garowe,SO,8.4054,48.4845,24.58,66,62,7.36,broken clouds
591,horni benesov,CZ,49.9668,17.6026,10.68,86,100,5.16,overcast clouds
592,durban,ZA,-29.8579,31.0292,20.51,95,80,0.45,light rain
593,san pedro,PH,14.35,121.0167,31.31,69,82,4.57,broken clouds
594,bay city,US,43.5945,-83.8889,15.55,71,40,2.57,scattered clouds
595,chebenki,RU,51.9337,55.7077,8.86,29,98,5.39,overcast clouds
596,puri,IN,19.8,85.85,29.29,75,46,6.82,scattered clouds
597,saint-louis,SN,16.3333,-15.0,27.63,69,11,4.76,few clouds
598,vieques,PR,18.425,-65.8329,28.39,78,40,0.0,haze
599,pirganj,BD,25.8523,88.3618,28.18,79,86,1.21,overcast clouds
600,ostrowiec swietokrzyski,PL,50.9294,21.3853,8.94,77,22,4.9,few clouds
601,albany,US,42.6001,-73.9662,10.4,94,6,1.83,clear sky
602,olinda,BR,-8.0089,-34.8553,25.85,78,40,2.57,scattered clouds
603,akdepe,TM,42.0551,59.3788,14.09,20,0,4.26,clear sky
604,lieksa,FI,63.3167,30.0167,9.66,96,100,8.22,light rain
605,athens,GR,37.9795,23.7162,18.21,64,20,4.47,few clouds
606,bahia honda,CU,22.9036,-83.1592,23.59,79,8,1.81,clear sky
607,el alto,PE,-4.2714,-81.2147,16.93,80,15,6.85,few clouds
608,alekseyevskaya,RU,50.2896,42.1845,6.86,92,35,3.53,scattered clouds
609,jackson,US,42.4165,-122.8345,22.93,57,0,2.06,clear sky
610,abalak,RU,58.1286,68.5944,7.86,57,100,1.57,overcast clouds
611,waddan,LY,29.1614,16.139,19.11,78,0,2.38,clear sky
612,aksehir,TR,38.3575,31.4164,10.48,80,68,2.59,broken clouds
613,novopetrovskoye,RU,55.9928,36.4719,5.77,98,91,1.97,overcast clouds
614,bereznik,RU,62.8551,42.7072,7.51,96,100,1.61,overcast clouds
615,borovskoy,KZ,53.8,64.15,10.32,25,100,4.8,overcast clouds
616,starobaltachevo,RU,56.0013,55.9213,8.86,65,100,5.56,light rain
617,carolina,PR,18.3808,-65.9574,28.31,83,40,0.0,haze
618,oussouye,SN,12.485,-16.5469,25.69,87,79,2.6,broken clouds
619,antofagasta,CL,-23.65,-70.4,13.6,59,0,4.92,clear sky
620,vazante,BR,-17.9869,-46.9078,23.04,71,94,0.64,overcast clouds
621,black river,JM,18.0264,-77.8487,25.76,87,36,2.38,scattered clouds
622,petropavlovskoye,RU,52.0712,84.107,8.53,53,100,6.35,overcast clouds
623,martinsburg,US,39.4562,-77.9639,14.75,87,2,1.58,clear sky
624,ancud,CL,-41.8697,-73.8203,7.44,83,59,3.06,broken clouds
625,frederikshavn,DK,57.4407,10.5366,12.02,83,48,9.47,scattered clouds
626,parana,AR,-31.732,-60.5238,18.03,68,100,4.58,light rain
627,manicore,BR,-5.8092,-61.3003,26.75,59,92,0.93,overcast clouds
628,muret,FR,43.3333,1.25,15.89,89,35,0.45,scattered clouds
629,kaman,IN,27.65,77.2667,26.07,74,50,3.67,scattered clouds
630,san pedro de macoris,DO,18.4616,-69.2972,26.07,90,46,3.18,scattered clouds
631,imperia,IT,43.9667,7.7833,13.81,87,1,2.01,clear sky
632,angoche,MZ,-16.2325,39.9086,23.05,77,0,2.1,clear sky
633,pokhara,NP,28.2333,83.9833,19.34,96,100,0.52,overcast clouds
634,jalu,LY,29.0331,21.5482,20.39,55,17,4.4,few clouds
635,lukulu,ZM,-14.3707,23.242,17.38,27,42,2.76,scattered clouds
636,bengkulu,ID,-3.8004,102.2655,28.33,68,26,2.8,scattered clouds
637,plakhtiyivka,UA,46.1006,29.7217,12.95,50,100,1.49,overcast clouds
638,apollonia,GR,36.9716,24.7231,17.77,61,0,15.8,clear sky
639,newry,GB,54.1784,-6.3374,10.62,83,49,7.64,scattered clouds
640,nizhnevartovsk,RU,60.9344,76.5531,-0.99,100,100,1.0,overcast clouds
641,villanueva de la serena,ES,38.9766,-5.7974,20.0,39,0,1.75,clear sky
642,zeerust,ZA,-25.5369,26.0751,16.08,57,0,2.54,clear sky
643,artyom,AZ,40.4723,50.333,21.08,83,70,10.83,broken clouds
644,staraya mayna,RU,54.6,48.95,9.31,83,79,4.66,broken clouds
645,sao miguel,BR,-5.4667,-35.3667,23.43,88,7,4.14,clear sky
646,santa maria,BR,-29.6842,-53.8069,15.97,98,100,1.44,moderate rain
647,santa isabel do rio negro,BR,-0.4139,-65.0192,23.99,85,40,1.11,scattered clouds
648,nandurbar,IN,21.3667,74.25,27.44,67,82,3.83,broken clouds
649,carauari,BR,-4.8828,-66.8958,25.65,70,65,0.72,broken clouds
650,bewar,IN,27.2184,79.3005,23.03,88,100,5.23,overcast clouds
651,bud,US,39.447,-86.1758,12.73,84,40,1.79,scattered clouds
652,balkhash,KZ,46.844,74.9804,11.34,37,0,8.0,clear sky
653,cururupu,BR,-1.8283,-44.8683,25.42,77,1,3.11,clear sky
654,porto velho,BR,-8.7619,-63.9039,25.03,94,0,1.03,clear sky
655,paoua,CF,7.2427,16.4406,20.0,97,100,0.68,moderate rain
656,pavlodar,KZ,52.3,76.95,8.89,46,0,3.0,clear sky
657,ozinki,RU,51.1786,49.6769,10.87,71,97,2.8,overcast clouds
658,zuwarah,LY,32.9312,12.082,22.35,64,6,5.68,clear sky
659,strangnas,SE,59.3774,17.0312,13.99,76,89,8.29,overcast clouds
660,linhares,BR,-19.3911,-40.0722,22.47,90,94,1.7,overcast clouds
661,octeville,FR,49.6261,-1.6435,11.27,82,75,4.12,broken clouds
662,ayapel,CO,8.3137,-75.1398,23.23,96,93,0.88,overcast clouds
663,jeremie,HT,18.65,-74.1167,27.52,84,84,4.9,broken clouds
664,ibi,ES,38.6253,-0.5723,16.23,79,66,2.37,broken clouds
665,afyonkarahisar,TR,38.75,30.6667,7.6,86,27,2.17,scattered clouds
666,toledo,ES,39.8333,-4.0,19.06,78,0,3.98,clear sky
667,filingue,NE,14.3521,3.3168,29.88,54,53,4.71,broken clouds
668,mogadishu,SO,2.0371,45.3438,25.58,84,22,5.58,few clouds
669,marzuq,YE,14.4,46.4667,24.56,39,28,0.15,scattered clouds
670,jagodina,RS,43.9814,21.2622,9.23,80,100,2.44,overcast clouds
671,samus,RU,56.7475,84.6992,2.91,86,100,2.42,light rain
672,beyneu,KZ,45.3167,55.2,13.95,23,88,6.51,overcast clouds
673,maragogi,BR,-9.0122,-35.2225,23.94,90,11,3.52,few clouds
674,nizhneivkino,RU,58.194,49.5214,7.45,96,100,1.93,light rain
675,mamallapuram,IN,12.6264,80.1722,27.03,65,99,5.09,overcast clouds
676,san rafael,AR,-34.6177,-68.3301,12.5,59,40,3.74,scattered clouds
677,urucuca,BR,-14.5931,-39.2844,19.01,99,17,0.67,few clouds
678,sudak,UA,44.85,34.9667,13.3,64,94,2.05,overcast clouds
679,kirkwall,GB,58.9848,-2.9587,10.03,81,75,7.72,heavy intensity rain
680,osypenko,UA,46.9136,36.8253,10.57,70,93,2.67,overcast clouds
681,oswego,US,43.4501,-76.1497,11.86,75,12,1.11,few clouds
